# annotated epochs from DB sc3marsop, datetime: 2020-12-16T14:23:03Z
"2019-01-06T01:52:44Z","2019-01-06T02:12:19Z","j2c","","MEMS off-set tuning","JC. Note SP3 / 67.MHW goes into low gain mode for rest of day acquisition, only fixed by power cycle and OK for start of next day"
"2019-01-11T01:09:46Z","2019-01-11T02:10:58Z","j2c","","SEIS level low","JC"
"2019-01-11T02:19:03Z","2019-01-11T02:20:27Z","ss_v1","","LCO 67.MHW","SS: SP3 switched into low-gain-mode for 2 minutes after levelling"
"2019-01-11T02:51:35Z","2019-01-11T02:52:02Z","j2c","","SP recenter","JC"
"2019-01-11T06:20:24Z","2019-01-11T06:31:35Z","j2c","","VBB initial recenter","JC"
"2019-01-11T06:48:57Z","2019-01-11T06:59:41Z","j2c","","VBB coarse recenter","JC"
"2019-01-12T23:58:44Z","2019-01-12T23:58:51Z","j2c","","","JC"
"2019-01-13T05:13:05Z","2019-01-13T05:13:11Z","j2c","","","JC"
"2019-01-13T05:13:11Z","","j2c","","","JC"
"2019-01-13T11:19:42Z","2019-01-13T11:20:52Z","j2c","","67.MHU (SP1), 2.7E-6, 25s","JC. Not visible on any other compoent"
"2019-01-14T07:05:13Z","2019-01-14T07:05:16Z","j2c","http://quakeml.org/vocab/marsquake/1.0/MarsEpochType#ONE-SIDED_PULSE_MULTIPLE_COMPONENTS","Donk","JC"
"2019-01-14T07:05:30Z","2019-01-14T07:05:40Z","j2c","","","JC Period around Garcia Impact Report"
"2019-01-14T07:07:31Z","2019-01-14T07:07:34Z","j2c","http://quakeml.org/vocab/marsquake/1.0/MarsEpochType#ONE-SIDED_PULSE_MULTIPLE_COMPONENTS","Donk","JC"
"2019-01-14T07:10:33Z","2019-01-14T07:10:37Z","j2c","","Donk","JC"
"2019-01-14T07:12:24Z","2019-01-14T07:12:29Z","j2c","http://quakeml.org/vocab/marsquake/1.0/MarsEpochType#ONE-SIDED_PULSE_MULTIPLE_COMPONENTS","Donk","JC"
"2019-01-14T09:51:21Z","2019-01-14T09:51:26Z","j2c","http://quakeml.org/vocab/marsquake/1.0/MarsEpochType#ONE-SIDED_PULSE_MULTIPLE_COMPONENTS","Donk","JC"
"2019-01-14T11:38:10Z","2019-01-14T11:38:51Z","j2c","","67.MHV, 8.1E-6, 25s","JC"
"2019-01-14T12:44:39Z","2019-01-14T12:45:38Z","j2c","","68.SHU, 3.7E-6, 25s","JC"
"2019-01-16T01:58:16Z","2019-01-16T01:58:40Z","skedar","","","JC"
"2019-01-16T08:36:06Z","2019-01-16T08:36:55Z","","","17.MLZ slight",""
"2019-01-16T11:10:34Z","2019-01-16T11:11:54Z","j2c","","Pressure Drop - both sensors","JC"
"2019-01-16T12:43:53Z","2019-01-16T12:44:23Z","j2c","","SP3 67.MHV 7E-6 25s","JC"
"2019-01-16T13:42:34Z","2019-01-16T13:44:02Z","j2c","","SP1 68.SHU 1.7E-6 25s","JC"
"2019-01-17T12:46:37Z","","mb_v1","","","Heater ON"
"2019-01-17T12:48:04Z","","","","",""
"2019-01-17T13:16:28Z","","ss_v1","","68.SHU 2.6e-6 m/s 28sec","SS"
"2019-01-17T13:36:20Z","","","","",""
"2019-01-17T16:07:38Z","2019-01-17T16:09:40Z","mb_v1","","MHU, SHU 2.01e-7 m/s 40s","MB: only U, 2 peaks"
"2019-01-18T12:25:54Z","2019-01-18T12:25:55Z","ss_v1","","68.SHU 4e-8 m/s 1 sec","SS: high frequency spike, long period signal on all horizonals, SP and VBB"
"2019-01-18T13:26:07Z","2019-01-18T13:34:46Z","ss_v1","","68.SHU 1.16e-6","SS Heater on"
"2019-01-18T14:27:14Z","2019-01-18T14:28:04Z","","","68.SHU 2.5e-6 m/s 50 sec",""
"2019-01-19T07:47:20Z","2019-01-19T07:48:03Z","ss_v1","","??PA, 20s, 50.VDO 2.5e-6 m/s","SS - no MDO data available
Followed by similar, but short event 3 min later"
"2019-01-19T09:08:51Z","2019-01-19T09:12:03Z","ss_v1","","67.MHV 2e-7","SS: long period signal: IDA retracted from PM observation location"
"2019-01-20T15:59:30Z","2019-01-20T16:00:30Z","ss_v1","","68.SHU Heater glitch","SS"
"2019-01-23T16:43:57Z","2019-01-23T16:48:50Z","tkawamura","","","Heater Jerk"
"2019-01-23T16:43:57Z","2019-01-23T16:46:20Z","","","",""
"2019-01-23T16:59:18Z","2019-01-23T16:59:42Z","","","",""
"2019-01-23T17:44:17Z","2019-01-23T17:44:39Z","","","",""
"2019-01-23T17:54:56Z","2019-01-23T17:55:39Z","tkawamura","","","Heater Glitch"
"2019-01-23T18:03:11Z","2019-01-23T18:04:01Z","tkawamura","","","Heater Glitch"
"2019-01-23T19:48:39Z","2019-01-23T19:49:17Z","","","",""
"2019-01-24T08:27:09Z","2019-01-24T08:28:22Z","ss_v1","","Dust Devil","SS"
"2019-01-24T17:23:42Z","","ss_v1","","HEATERON","SS"
"2019-01-26T12:29:12Z","2019-01-26T12:44:40Z","ss_v1","","Pinning mass adjustment","SS
contemporary marker "recentering " is wrong"
"2019-01-26T12:29:38Z","2019-01-26T12:44:28Z","ss_v1","","VBB recentering","SS"
"2019-01-27T20:05:50Z","2019-01-27T20:07:35Z","ss_v1","","Heater glitch","SS"
"2019-01-28T10:00:28Z","2019-01-28T10:00:45Z","ss_v1","","DUST DEVIL","SS, TK: small signal in pressure, but DD signature on horizontal"
